Artifact ID,Item Name,Category,Provenance/Significance,Source,Picture,Additional information,URL,Magazine,Date,Vol.,Issue
26.0094,"2018 Boulder BMX ""1st"" Place Tin
Double Points",Award,"This 1st Place award tin was earned at Boulder BMX, a USA BMX sanctioned track, during a Double Points race event. Double Points races award twice the normal points toward season standings, making wins at these events especially valuable within the BMX racing series.",Leary Locker,,"1st Place award tin earned at Boulder BMX, a USA BMX sanctioned track, during a Double Points race event. Double Points races award twice the normal series points toward season standings, making wins at these events especially valuable for riders pursuing championship rankings.",,,,,
26.0095,"2012 So Cal State Championship Finals ""1st"" Place Plaque
Orange BMX",Award,"This 1st Place plaque from the 2012 Southern California State Championship Finals was awarded at Orange BMX, a track sanctioned by USA BMX. State Championship Finals races determine the top riders in the region’s season-long series, making victories at these events significant achievements in competitive BMX racing.",Leary Locker,,"1st Place plaque awarded at the 2012 Southern California State Championship Finals held at Orange BMX, a USA BMX sanctioned facility. State Championship Finals determine the top riders from the season-long state series, making victories at these events major accomplishments in competitive BMX racing.",,,,,
26.0096,"2019 Gold Cup Regional Championship ""2nd"" Place Plaque
Whittier Narrows",Award,"This 2nd Place plaque from the 2019 Gold Cup Regional Championship was awarded at Whittier Narrows BMX, a USA BMX sanctioned facility. Gold Cup Regional Championships bring together top amateur racers from qualifying events to compete for regional titles and championship number plates.",Leary Locker,,2nd Place plaque from the 2019 Gold Cup Regional Championship held at Whittier Narrows BMX. Gold Cup Regional Championships bring together top amateur racers from qualifying events to compete for regional titles and Gold Cup championship rankings within the USA BMX series.,,,,,
26.0097,"2018 Gold Cup Regional Championship ""3rd"" Place Plaque
Chula Vista BMX",Award,"This 3rd Place plaque from the 2018 Gold Cup Regional Championship was awarded at Chula Vista BMX, a track sanctioned by USA BMX. Gold Cup Regional Championship races bring together top riders from qualifying events to compete for regional titles and championship rankings within the BMX racing series.",Leary Locker,,"3rd Place plaque from the 2018 Gold Cup Regional Championship held at Chula Vista BMX, a USA BMX sanctioned track. These regional championship events bring together top qualifiers from throughout the season to compete for Gold Cup titles and final regional standings.",,,,,
26.0098,"2021 Chandler BMX Arizona State Race ""1st"" Place Plaque",Award,"This 1st Place plaque from 2021 was earned at an Arizona State Championship race held at Chandler BMX, a track sanctioned by USA BMX. State Championship races allow riders to earn points toward seasonal state rankings, making victories at these events important achievements in the BMX racing series.",Leary Locker,,1st Place plaque earned at a 2021 Arizona State Championship race held at Chandler BMX. State Championship races award points toward seasonal state rankings and recognize top riders within the USA BMX state championship series.,,,,,
26.0099,"2015 Gold Cup Regional Championships ""2nd"" Place Plaque
Whittier Narrows",Award,"This 2nd Place plaque from the 2015 Gold Cup Regional Championship was awarded at Whittier Narrows BMX, a USA BMX sanctioned facility. Gold Cup Regional Championships bring together top riders from qualifying events to compete for regional titles and championship rankings within the BMX racing series.",Leary Locker,,2nd Place plaque from the 2015 Gold Cup Regional Championship held at Whittier Narrows BMX. Gold Cup events gather riders who qualified through regional races to compete for final championship placements within the USA BMX Gold Cup series.,,,,,
26.0100,"2020 Gold Cup Southwest Regional Championship ""1st"" Place Plaque
Sports Park BMX - Oct 16 - 18, 2020 - Tucson, AZ",Award,"This 1st Place plaque from the 2020 Gold Cup Southwest Regional Championship was earned at Sports Park BMX in Tucson, Arizona, during the event held October 16–18, 2020. The race was part of the USA BMX Gold Cup Championship Series, where top riders from qualifying events compete for regional titles and championship number plates.",Leary Locker,,"1st Place plaque from the 2020 Gold Cup Southwest Regional Championship held October 16–18, 2020 at Sports Park BMX in Tucson, Arizona. The event was part of the USA BMX Gold Cup Championship Series, where riders from regional qualifiers compete for championship titles and Gold Cup number plates.",,,,,
26.0101,"2017 Gold Cup Southwest Regional Championship ""1st"" Place
Chula Vista, CA - 20 Sept - 1 Oct. 2017",Award,"This 1st Place plaque from the 2017 Gold Cup Southwest Regional Championship was earned in Chula Vista, California, during the event held September 30 – October 1, 2017. The race was part of the USA BMX Gold Cup Championship Series, where top riders from regional qualifiers compete for championship titles and Gold Cup rankings.",Leary Locker,,"1st Place plaque from the 2017 Gold Cup Southwest Regional Championship held September 30 – October 1, 2017 in Chula Vista, California. The event brought together top qualifiers from the region to compete for Gold Cup championship standings within the USA BMX series.",,,,,
26.0102,"2019 Gold Cup Regional Champtionship ""1st"" Place Plaque
Whittier Narrows",Award,"This 1st Place plaque from the 2019 Gold Cup Regional Championship was awarded at Whittier Narrows BMX, a facility sanctioned by USA BMX. Gold Cup Regional Championships bring together top riders from qualifying events to compete for regional titles and championship rankings within the BMX racing series.",Leary Locker,,"1st Place plaque awarded at the 2019 Gold Cup Regional Championship held at Whittier Narrows BMX, a USA BMX sanctioned facility. Gold Cup Regional Championships serve as the culmination of the qualifying series, determining final regional champions within the Gold Cup racing program.",,,,,
26.0103,"2005 Southern California State Championship Finals - Orange BMX - ""2nd"" Place Plaque",Award,,Leary Locker,,,,,,,
26.0104,"2017 Bellflower BMX California State Qualifier - ""2nd"" Place Plaque",Award,,Leary Locker,,,,,,,
26.0105,JAD Machine Blank Stem,Memorabilia ,,David Lesorgan,,,,,,,
26.0106,"""Oly"" Decal",Decal,,Online,,,,,,,
26.0107,Bicycles & Dirt - Vol 1. No. 10,Magazine,,Online,,,,,,,
26.0108,Bicycle Motorcross Action - Dec. 76/ Jan. 77 (1st Issue),Magazine,,Marc Cnter,,,,,,,
26.0109,BMX Plus Jan '79 ,Magazine,,Online,,,,,,,
26.0110,BMX Plus! - October 1982 - E.T. Issue,Magazine ,,Todd Huffman,,,,,,,
26.0111,Ebony Jr! - August / September 1979 (Team JAG Issue),Magazine,,Online,,,,,,,
26.0112,Ebony Jr! - October 1976,Magazine ,,Online,,,,,,,
26.0113,Wedding Favor - Ken Pliska,Memorabilia ,,Ken Pliska,,,,,,,
26.0114,Swing Advertisement/Cartoon - Speedy Wheeler Swoop Em!,Print,,Online,,,,,,,
26.0115,"Printed Picture of Harry Leary on a red Specialized with unknown rider - Related to xxxxx, xxxxx, and xxxxx",Picture ,,Lear Locker,,,,,,,
26.0116,Dirt Days - 2008 Event Program,Print,,Leary Locker,,,,,,,
26.0117,Loose picture of a Mororcross rider,Picture,,Leary Locker,,,,,,,
26.0118,Printed picture of Harry Leary lined up on a gate against an unknown rider,Picture,,Leary Locker,,,,,,,
26.0119,Close-up printed picture of Harry Leary ,Picture,,Leary Locker,,,,,,,
26.0120,"2002 NAG ""2"" Plate",Online,,Online,,,,,,,
26.0121,North Woods BMX - 2000 Boston - Oregon's One Plate,Plate,,Online,,,,,,,
26.0122,"2008 Team USA Plate ""1"" ",Plate ,,Online,,,,,,,
26.0123,JAD Promotional Flier,Print,,Online,,,,,,,
26.0124,Process Magazine - Vol. 2,Magazine,,Online,,,,,,,
26.0125,"BMX Plus! July 2011 - ""Bikes Over Baghdad""",Magazine,,Online,,,,,,,
26.0126,ABA Action Newspaper - April '78,Magazine,,Online,,,,,,,
26.0127,Loop Magazine - 31,Magazine,,Online,,,,,,,
26.0128,Shimano F1 Catalog,Print,,Online,,,,,,,
26.0129,Hooligan BMX Radical Rick Figure,,,,,,,,,,
26.0130,Hooligan BMX MX Mug Figure,,,,,,,,,,
26.0131,Hooligan BMX Skuzzer Switchblade Figure,,,,,,,,,,
26.0132,Hooligan & Gap Hill Speed Shop 1/24 Radical Rick and Scene,,,,,,,,,,
26.0133,BMX Plus! -  Radical Rick Premier Issue,,,,,,,,,,
26.0134,,,,,,,,,,,
26.0135,,,,,,,,,,,
26.0136,,,,,,,,,,,
26.0137,,,,,,,,,,,
26.0138,,,,,,,,,,,
26.0139,,,,,,,,,,,
26.0140,,,,,,,,,,,
26.0141,,,,,,,,,,,
26.0142,,,,,,,,,,,
26.0143,,,,,,,,,,,
26.0144,,,,,,,,,,,
26.0145,,,,,,,,,,,
26.0146,,,,,,,,,,,
26.0147,,,,,,,,,,,
26.0148,,,,,,,,,,,
26.0149,,,,,,,,,,,
26.0150,,,,,,,,,,,
